symbol,direction,confidence,tp1_possibility,tp2_possibility,tp3_possibility,support,resistance,timestamp,entry,tp1,tp2,tp3,sl,status
BTC/USDT,SHORT,68.6679783197832,0.7905019674796748,0.5873359566395664,0.384169945799458,102518.08,105771.96,2025-05-12 11:58:36,103740.0,102183.9,100627.8,98553.0,104777.4,pending
PUNDIX/USDT,LONG,63.85714285714285,0.7832857142857144,0.5777142857142857,0.3721428571428571,0.4678,0.515,2025-05-12 12:05:23,0.4699,0.4769485,0.483997,0.493395,0.465201,pending
XVG/USDT,LONG,63.08571428571428,0.7821285714285715,0.5761714285714286,0.3702142857142857,0.004562,0.0067893333333333,2025-05-12 12:05:35,0.006673,0.006773095,0.00687319,0.00700665,0.00660627,pending
UMA/USDT,LONG,63.08571428571428,0.7821285714285715,0.5761714285714286,0.3702142857142857,1.2666666666666668,1.194,2025-05-12 12:09:15,1.374,1.39461,1.41522,1.4427,1.36026,pending
BTC/USDT,SHORT,68.60724632093053,0.7904108694813958,0.587214492641861,0.3840181158023263,102518.08,105771.96,2025-05-12 12:23:40,103988.0,102428.18,100868.36,98788.6,105027.88,pending
UMA/USDT,LONG,63.08571428571428,0.7821285714285715,0.5761714285714286,0.3702142857142857,1.2666666666666668,1.194,2025-05-12 12:29:40,1.376,1.39664,1.41728,1.4448,1.36224,pending
