2025-05-12 23:27:06 | INFO | crypto-signal-bot | [ETH/USDT] Features prepared: {'rsi': 86.15480196738282, 'macd': 181.24291910653574, 'macd_signal': 97.73880686017249, 'bb_upper': 2534.1538971334894, 'bb_lower': 1393.068102866511, 'atr': 139.43785714285713, 'volume': 1060793.9, 'volume_sma_20': 639908.11484375}
2025-05-12 23:27:06 | INFO | crypto-signal-bot | [ETH/USDT] Prediction for 1d: SHORT, Confidence: 56.14%
2025-05-12 23:27:06 | INFO | crypto-signal-bot | [ETH/USDT] Low confidence: 56.14%
2025-05-12 23:27:06 | INFO | crypto-signal-bot | [ETH/USDT] No signal for 1d
2025-05-12 23:27:06 | INFO | crypto-signal-bot | [ETH/USDT] No valid signals across any timeframe
2025-05-12 23:27:06 | INFO | crypto-signal-bot | ⚠️ ETH/USDT - No valid signal
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Checking for cooldown
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Starting multi-timeframe analysis
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Starting multi-timeframe analysis
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Starting analysis on 15m
2025-05-12 23:27:07 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:07 | WARNING | crypto-signal-bot | [BNB/USDT] Support/Resistance too close to current price
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Support/Resistance calculated: Last support=660.02, resistance=662.49
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Features prepared: {'rsi': 58.40768702813975, 'macd': -1.2364377817971217, 'macd_signal': -1.9628975221275067, 'bb_upper': 665.1549248497265, 'bb_lower': 655.7310751502735, 'atr': 1.9657142857142926, 'volume': 2558.375, 'volume_sma_20': 3287.8237030029295}
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Prediction for 15m: LONG, Confidence: 59.86%
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Low confidence: 59.86%
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] No signal for 15m
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Starting analysis on 1h
2025-05-12 23:27:07 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:07 | WARNING | crypto-signal-bot | [BNB/USDT] Support/Resistance too close to current price
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Support/Resistance calculated: Last support=659.97, resistance=663.06
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Features prepared: {'rsi': 45.92973436161094, 'macd': 0.7639336690320988, 'macd_signal': 1.9224183189156692, 'bb_upper': 683.7749028248422, 'bb_lower': 647.8490971751578, 'atr': 9.10571428571428, 'volume': 7006.621, 'volume_sma_20': 26983.566674804686}
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Prediction for 1h: LONG, Confidence: 53.86%
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Low confidence: 53.86%
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] No signal for 1h
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Starting analysis on 4h
2025-05-12 23:27:07 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Support/Resistance calculated: Last support=641.31, resistance=655.97
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Features prepared: {'rsi': 56.44930985245117, 'macd': 10.110542071201166, 'macd_signal': 11.3310935575673, 'bb_upper': 675.0351605422021, 'bb_lower': 640.5528394577981, 'atr': 13.90000000000001, 'volume': 27040.557, 'volume_sma_20': 74583.0970703125}
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Prediction for 4h: LONG, Confidence: 59.86%
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Low confidence: 59.86%
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] No signal for 4h
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Starting analysis on 1d
2025-05-12 23:27:07 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Support/Resistance calculated: Last support=635.16, resistance=676.48
2025-05-12 23:27:07 | INFO | crypto-signal-bot | [BNB/USDT] Features prepared: {'rsi': 71.78909768597607, 'macd': 14.439857152574746, 'macd_signal': 7.230419865125306, 'bb_upper': 664.7432765428139, 'bb_lower': 563.8847234571863, 'atr': 19.546428571428585, 'volume': 582577.9, 'volume_sma_20': 249526.737890625}
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [BNB/USDT] Prediction for 1d: LONG, Confidence: 59.86%
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [BNB/USDT] Low confidence: 59.86%
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [BNB/USDT] No signal for 1d
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [BNB/USDT] No valid signals across any timeframe
2025-05-12 23:27:08 | INFO | crypto-signal-bot | ⚠️ BNB/USDT - No valid signal
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Checking for cooldown
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Starting multi-timeframe analysis
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Starting multi-timeframe analysis
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Starting analysis on 15m
2025-05-12 23:27:08 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:08 | WARNING | crypto-signal-bot | [NEO/USDT] Support/Resistance too close to current price
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Support/Resistance calculated: Last support=7.33, resistance=7.38
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Features prepared: {'rsi': 80.55555555555554, 'macd': 0.018954764522800538, 'macd_signal': -0.010132907634375955, 'bb_upper': 7.427364196949477, 'bb_lower': 6.999635803050524, 'atr': 0.05571428571428579, 'volume': 11384.33, 'volume_sma_20': 21811.545068359374}
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Prediction for 15m: LONG, Confidence: 59.86%
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Low confidence: 59.86%
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] No signal for 15m
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Starting analysis on 1h
2025-05-12 23:27:08 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Support/Resistance calculated: Last support=7.18, resistance=7.25
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Features prepared: {'rsi': 39.31623931623932, 'macd': 0.024969276900657533, 'macd_signal': 0.04513251643434746, 'bb_upper': 7.877776131326409, 'bb_lower': 6.893223868673592, 'atr': 0.17714285714285719, 'volume': 21024.34, 'volume_sma_20': 220423.12578125}
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Prediction for 1h: LONG, Confidence: 59.86%
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Low confidence: 59.86%
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] No signal for 1h
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Starting analysis on 4h
2025-05-12 23:27:08 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Support/Resistance calculated: Last support=7.01, resistance=7.11
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Features prepared: {'rsi': 60.36036036036035, 'macd': 0.31925817904937226, 'macd_signal': 0.32813808204770445, 'bb_upper': 7.741461970253256, 'bb_lower': 6.284538029746744, 'atr': 0.4057142857142857, 'volume': 227298.0, 'volume_sma_20': 513263.328125}
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Prediction for 4h: LONG, Confidence: 59.86%
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Low confidence: 59.86%
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] No signal for 4h
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Starting analysis on 1d
2025-05-12 23:27:08 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:27:08 | INFO | crypto-signal-bot | [NEO/USDT] Support/Resistance calculated: Last support=6.39, resistance=5.90
